state,area,log_area
rajasthan,342239,12.74326460238583
madhya pradesh,308245,12.638650200294872
maharashtra,307713,12.636922809361447
uttar pradesh,240928,12.392253412649849
gujarat,196024,12.185992379695982
karnataka,191792,12.16416673044688
andhra pradesh,162975,12.00135209379274
odisha,155707,11.955731315064549
chhattisgarh,135191,11.814443872327912
tamil nadu,130058,11.77573578378684
telangana,112077,11.626941414057368
bihar,94163,11.45278260208932
west bengal,88752,11.393601242295016
arunachal pradesh,83743,11.335507864104583
jharkhand,79716,11.28622559745324
assam,78438,11.270063782789917
ladakh,59146,10.98776424243687
himachal pradesh,55673,10.927250568714278
uttarakhand,53483,10.887119125379296
punjab,50362,10.826992201428478
haryana,44212,10.696751524430846
jammu & kashmir,42241,10.651146592342338
kerala,38863,10.567797920157515
meghalaya,22429,10.018110043372824
manipur,22327,10.013551987398436
mizoram,21081,9.956127439860309
nagaland,16579,9.715892113239466
tripura,10486,9.25779631313248
andaman & nicobar islands,8249,9.017847259860732
sikkim,7096,8.867286523989415
goa,3702,8.216628493133443
delhi,1484,7.302496423727326
dadra & nagar haveli and daman & diu,603,6.401917196727186
puducherry,479,6.171700597410915
chandigarh,114,4.736198448394496
lakshadweep,32,3.4657359027997265
