state_no,wealthq,count,mean,std,min,25%,50%,75%,max,weight,state_name
1,1,422,0.036026193,0.184745897,0,0,,,1,422,jammu & kashmir
1,2,594,0.024785406,0.154594126,0,0,,,1,594,jammu & kashmir
1,3,604,0.027722874,0.163113295,0,0,,,1,604,jammu & kashmir
1,4,721,0.029762738,0.168692305,0,0,,,1,721,jammu & kashmir
1,5,571,0.031939233,0.174592896,0,0,1,,1,571,jammu & kashmir
2,1,85,0.40476351,0.406749256,0,1,1,,1,85,himachal pradesh
2,2,246,0.45335132,0.388085188,0,1,1,,1,246,himachal pradesh
2,3,315,0.399007861,0.392325924,0,1,,,1,315,himachal pradesh
2,4,368,0.449350043,0.383596152,0,1,1,,1,368,himachal pradesh
2,5,359,0.524738896,0.371498692,0,1,1,,1,359,himachal pradesh
3,1,36,0.120404874,0.314958861,0,1,,,1,36,punjab
3,2,175,0.282945481,0.40242862,0,1,,,1,175,punjab
3,3,344,0.24098205,0.389891877,0,1,,,1,344,punjab
3,4,663,0.30901683,0.407781122,0,1,1,,1,663,punjab
3,5,1619,0.358341113,0.411838666,0,1,1,,1,1619,punjab
4,1,3,0,0,0,0,0,,0,3,chandigarh
4,2,0,0,0,,,,,,0,chandigarh
4,3,3,0.391496005,0.466307854,1,1,,,1,3,chandigarh
4,4,13,0.291364328,0.419051264,0,1,,,1,13,chandigarh
4,5,61,0.427643427,0.390238305,0,1,,,1,61,chandigarh
5,1,137,0.111385997,0.304733984,0,0,,,1,137,uttarakhand
5,2,432,0.133215131,0.325329583,0,0,,,1,432,uttarakhand
5,3,538,0.134269982,0.327672156,0,0,,,1,538,uttarakhand
5,4,393,0.183285942,0.364990364,0,0,,,1,393,uttarakhand
5,5,433,0.207553457,0.381493496,0,0,1,,1,433,uttarakhand
6,1,105,0.220288865,0.385560565,0,0,,,1,105,haryana
6,2,333,0.305188238,0.404954913,0,1,,,1,333,haryana
6,3,608,0.369857323,0.409302897,0,1,1,,1,608,haryana
6,4,965,0.395335819,0.40428483,0,1,1,,1,965,haryana
6,5,1532,0.428356659,0.397286116,0,1,1,,1,1532,haryana
7,1,4,0.07604348,0.299310612,0,0,,,1,4,nct of delhi
7,2,59,0.056335158,0.22895056,0,0,,,1,59,nct of delhi
7,3,176,0.078166799,0.263172887,0,0,,,1,176,nct of delhi
7,4,365,0.100640209,0.292870847,0,0,1,,1,365,nct of delhi
7,5,919,0.149202184,0.341361211,0,0,1,,1,919,nct of delhi
8,1,1268,0.270908078,0.400123601,0,1,,,1,1268,rajasthan
8,2,1650,0.274804893,0.400226551,0,1,,,1,1650,rajasthan
8,3,1632,0.275915005,0.401693634,0,1,,,1,1632,rajasthan
8,4,1522,0.297822314,0.407884318,0,1,1,,1,1522,rajasthan
8,5,1231,0.331399862,0.412364329,0,1,1,,1,1231,rajasthan
9,1,4835,0.174754151,0.358435898,0,0,,,1,4835,uttar pradesh
9,2,4715,0.206619738,0.377578653,0,0,,,1,4715,uttar pradesh
9,3,3342,0.210406889,0.380132619,0,0,1,,1,3342,uttar pradesh
9,4,2690,0.247354625,0.395424227,0,0,1,,1,2690,uttar pradesh
9,5,2365,0.278131429,0.405697547,0,0,1,,1,2365,uttar pradesh
10,1,5310,0.011776702,0.107572387,0,0,1,,1,5310,bihar
10,2,2945,0.018760382,0.135078984,0,0,0,,1,2945,bihar
10,3,1421,0.018819435,0.135291746,0,0,1,,1,1421,bihar
10,4,792,0.027265615,0.161866021,0,0,1,,1,792,bihar
10,5,287,0.048155576,0.211910468,0,0,1,,1,287,bihar
11,1,21,0,0,0,0,0,,0,21,sikkim
11,2,83,0.045778104,0.207850706,0,0,1,,1,83,sikkim
11,3,137,0,0,0,0,0,,0,137,sikkim
11,4,74,0,0,0,0,,,0,74,sikkim
11,5,17,0,0,0,0,,,0,17,sikkim
12,1,686,0.139794507,0.332457136,0,0,,,1,686,arunachal pradesh
12,2,904,0.151612761,0.342694783,0,0,1,,1,904,arunachal pradesh
12,3,658,0.150532826,0.341623016,0,0,,,1,658,arunachal pradesh
12,4,409,0.159658156,0.348582171,0,0,,,1,409,arunachal pradesh
12,5,98,0.160702221,0.348812247,0,0,,,1,98,arunachal pradesh
13,1,723,0.028781162,0.166126556,0,0,1,,1,723,nagaland
13,2,468,0.042635422,0.200118559,0,0,1,,1,468,nagaland
13,3,227,0.062551194,0.238739366,0,0,1,,1,227,nagaland
13,4,109,0.06284333,0.239304167,0,0,,,1,109,nagaland
13,5,46,0.080288519,0.268547911,0,0,,,1,46,nagaland
14,1,491,0.016688886,0.127669826,0,0,,,1,491,manipur
14,2,529,0.016292823,0.126187339,0,0,,,1,529,manipur
14,3,337,0.043930165,0.20287937,0,0,1,,1,337,manipur
14,4,182,0.044703251,0.204722577,0,0,,,1,182,manipur
14,5,77,0.105817148,0.300847318,0,0,1,,1,77,manipur
15,1,172,0.003526286,0.059397846,0,0,,,1,172,mizoram
15,2,255,0.002745563,0.05239241,0,0,,,1,255,mizoram
15,3,353,0.001555645,0.039451746,0,0,0,,1,353,mizoram
15,4,314,0.012802343,0.112253412,0,0,0,,1,314,mizoram
15,5,161,0.107681737,0.301609633,0,0,1,,1,161,mizoram
16,1,390,0.216506927,0.380571522,0,1,,,1,390,tripura
16,2,337,0.271611676,0.402607937,0,1,1,,1,337,tripura
16,3,209,0.309963779,0.412268112,0,1,1,,1,209,tripura
16,4,80,0.397468443,0.413232613,0,1,1,,1,80,tripura
16,5,9,0.207368513,0.394494726,0,1,,,1,9,tripura
17,1,1473,0.017726321,0.131359225,0,0,,,1,1473,meghalaya
17,2,1090,0.017688412,0.131262879,0,0,,,1,1090,meghalaya
17,3,419,0.012329654,0.110110278,0,0,,,1,419,meghalaya
17,4,124,0.029780039,0.169071132,0,0,,,1,124,meghalaya
17,5,23,0.078565882,0.268340514,0,0,,,1,23,meghalaya
18,1,2410,0.178786732,0.361731472,0,0,,,1,2410,assam
18,2,1810,0.214979396,0.383287371,0,0,1,,1,1810,assam
18,3,766,0.227835298,0.389626057,0,0,1,,1,766,assam
18,4,371,0.254234023,0.401566341,0,0,1,,1,371,assam
18,5,115,0.262444879,0.401543277,0,1,1,,1,115,assam
19,1,1132,0.004729621,0.068560613,0,0,0,,1,1132,west bengal
19,2,876,0.005838491,0.0761256,0,0,0,,1,876,west bengal
19,3,558,0.009080966,0.094749715,0,0,0,,1,558,west bengal
19,4,296,0.010925214,0.103845328,0,0,1,,1,296,west bengal
19,5,119,0.041341594,0.197858561,0,0,1,,1,119,west bengal
20,1,2828,0.32860191,0.408974617,0,1,1,,1,2828,jharkhand
20,2,1174,0.332053775,0.41247873,0,1,1,,1,1174,jharkhand
20,3,642,0.348157607,0.414382978,0,1,1,,1,642,jharkhand
20,4,401,0.335212986,0.414739689,0,1,1,,1,401,jharkhand
20,5,167,0.323519366,0.407568199,0,1,,,1,167,jharkhand
21,1,1731,0.404440281,0.397391157,0,1,,,1,1731,odisha
21,2,1101,0.446242008,0.387537868,0,1,1,,1,1101,odisha
21,3,787,0.478778846,0.377640185,0,1,1,,1,787,odisha
21,4,516,0.481746292,0.376051883,0,1,1,,1,516,odisha
21,5,259,0.489946112,0.381008124,0,1,1,,1,259,odisha
22,1,1773,0.223809906,0.385906365,0,0,1,,1,1773,chhattisgarh
22,2,1005,0.252480644,0.39713966,0,0,1,,1,1005,chhattisgarh
22,3,776,0.258945243,0.403345912,0,0,1,,1,776,chhattisgarh
22,4,560,0.255882936,0.400685177,0,0,1,,1,560,chhattisgarh
22,5,329,0.253625244,0.399180189,0,0,1,,1,329,chhattisgarh
23,1,3101,0.317259028,0.408582731,0,1,1,,1,3101,madhya pradesh
23,2,1971,0.332467979,0.409401043,0,1,1,,1,1971,madhya pradesh
23,3,1332,0.350819254,0.40860642,0,1,1,,1,1332,madhya pradesh
23,4,1126,0.391177501,0.408976066,0,1,1,,1,1126,madhya pradesh
23,5,824,0.380312091,0.408380282,0,1,1,,1,824,madhya pradesh
24,1,878,0.00512361,0.071342304,0,0,,,1,878,gujarat
24,2,1110,0.010666578,0.102493126,0,0,,,1,1110,gujarat
24,3,1095,0.012576725,0.111139321,0,0,1,,1,1095,gujarat
24,4,1094,0.006388472,0.079586475,0,0,0,,1,1094,gujarat
24,5,896,0.037263356,0.187787602,0,0,1,,1,896,gujarat
25,1,28,0.026911484,0.16354613,0,0,,,1,28,dadra & nagar haveli and daman & diu
25,2,73,0.005680902,0.075573678,0,0,0,,1,73,dadra & nagar haveli and daman & diu
25,3,91,0.013244036,0.114555342,0,0,,,1,91,dadra & nagar haveli and daman & diu
25,4,115,0.035760407,0.184753656,0,0,,,1,115,dadra & nagar haveli and daman & diu
25,5,96,0.017861692,0.132642873,0,0,0,,1,96,dadra & nagar haveli and daman & diu
27,1,544,0.027925148,0.163667204,0,0,,,1,544,maharashtra
27,2,911,0.033904422,0.179409488,0,0,,,1,911,maharashtra
27,3,1273,0.037444495,0.188106403,0,0,1,,1,1273,maharashtra
27,4,1339,0.04364635,0.202159848,0,0,1,,1,1339,maharashtra
27,5,822,0.086745528,0.275321839,0,0,1,,1,822,maharashtra
28,1,70,0.313214492,0.407893059,0,1,,,1,70,andhra pradesh
28,2,291,0.353076346,0.407351426,0,1,,,1,291,andhra pradesh
28,3,484,0.385260266,0.40665896,0,1,1,,1,484,andhra pradesh
28,4,410,0.387955897,0.406567709,0,1,1,,1,410,andhra pradesh
28,5,194,0.396435239,0.407105449,0,1,1,,1,194,andhra pradesh
29,1,345,0.013790401,0.116327137,0,0,,,1,345,karnataka
29,2,967,0.028447074,0.165142789,0,0,1,,1,967,karnataka
29,3,1383,0.032464874,0.175849287,0,0,1,,1,1383,karnataka
29,4,1159,0.040728807,0.195783961,0,0,1,,1,1159,karnataka
29,5,529,0.080639927,0.26694525,0,0,1,,1,529,karnataka
30,1,4,0.166645657,0.411992611,0,0,1,,1,4,goa
30,2,8,0,0,0,0,,,0,8,goa
30,3,23,0,0,0,0,0,,0,23,goa
30,4,45,0.035425375,0.18527183,0,0,,,1,45,goa
30,5,115,0.059262053,0.23357851,0,0,1,,1,115,goa
31,2,2,0,0,0,0,,,0,2,lakshadweep
31,3,16,0,0,0,0,,,0,16,lakshadweep
31,4,61,0.045048202,0.206617628,0,0,,,1,61,lakshadweep
31,5,60,0.065685351,0.245730601,0,0,1,,1,60,lakshadweep
32,1,18,0,0,0,0,,,0,18,kerala
32,2,51,0.012026113,0.109730259,0,0,,,1,51,kerala
32,3,241,0.035638523,0.184089731,0,0,1,,1,241,kerala
32,4,560,0.035741243,0.184214782,0,0,0,,1,560,kerala
32,5,567,0.059552564,0.233330914,0,0,1,,1,567,kerala
33,1,104,0.235954015,0.390618795,0,1,,,1,104,tamil nadu
33,2,458,0.311835927,0.406327027,0,1,,,1,458,tamil nadu
33,3,1101,0.341041834,0.415596884,0,1,1,,1,1101,tamil nadu
33,4,1146,0.313843661,0.41164979,0,1,1,,1,1146,tamil nadu
33,5,717,0.370214145,0.416369697,0,1,1,,1,717,tamil nadu
34,1,6,0,0,0,0,,,0,6,puducherry
34,2,23,0.024453197,0.156898144,0,0,,,1,23,puducherry
34,3,41,0.023107401,0.151378369,0,0,0,,1,41,puducherry
34,4,130,0.088563042,0.278426996,0,0,1,,1,130,puducherry
34,5,193,0.098769079,0.292556779,0,0,0,,1,193,puducherry
35,1,26,0.022258161,0.149487743,0,0,,,1,26,andaman & nicobar islands
35,2,50,0.016871141,0.129549863,0,0,1,,1,50,andaman & nicobar islands
35,3,67,0.029370801,0.168979795,0,0,0,,1,67,andaman & nicobar islands
35,4,61,0.012283194,0.110729594,0,0,0,,1,61,andaman & nicobar islands
35,5,29,0.053022194,0.224704054,0,0,,,1,29,andaman & nicobar islands
36,1,216,0.051728445,0.219208282,0,0,1,,1,216,telangana
36,2,710,0.042891538,0.200588105,0,0,1,,1,710,telangana
36,3,1230,0.032831692,0.176834226,0,0,1,,1,1230,telangana
36,4,1153,0.024086079,0.152495172,0,0,0,,1,1153,telangana
36,5,583,0.039505178,0.193160679,0,0,0,,1,583,telangana
37,1,32,0.019105102,0.138398804,0,0,,,1,32,ladakh
37,2,70,0.027487133,0.16346231,0,0,,,1,70,ladakh
37,3,59,0.045523973,0.207442658,0,0,,,1,59,ladakh
37,4,67,0.103258192,0.297142018,0,0,,,1,67,ladakh
37,5,24,0.118231827,0.319944764,0,0,1,,1,24,ladakh
