,state_name,vaccinate_wealthq_1,vaccinate_wealthq_2,vaccinate_wealthq_3,vaccinate_wealthq_4,vaccinate_wealthq_5
0,andaman & nicobar islands,0.022258161,0.016871141,0.029370801,0.012283194,0.053022194
1,andhra pradesh,0.313214492,0.353076346,0.385260266,0.387955897,0.396435239
2,arunachal pradesh,0.139794507,0.151612761,0.150532826,0.159658156,0.160702221
3,assam,0.178786732,0.214979396,0.227835298,0.254234023,0.262444879
4,bihar,0.011776702,0.018760382,0.018819435,0.027265615,0.048155576
5,chandigarh,0,0,0.391496005,0.291364328,0.427643427
6,chhattisgarh,0.223809906,0.252480644,0.258945243,0.255882936,0.253625244
7,dadra & nagar haveli and daman & diu,0.026911484,0.005680902,0.013244036,0.035760407,0.017861692
8,goa,0.166645657,0,0,0.035425375,0.059262053
9,gujarat,0.00512361,0.010666578,0.012576725,0.006388472,0.037263356
10,haryana,0.220288865,0.305188238,0.369857323,0.395335819,0.428356659
11,himachal pradesh,0.40476351,0.45335132,0.399007861,0.449350043,0.524738896
12,jammu & kashmir,0.036026193,0.024785406,0.027722874,0.029762738,0.031939233
13,jharkhand,0.32860191,0.332053775,0.348157607,0.335212986,0.323519366
14,karnataka,0.013790401,0.028447074,0.032464874,0.040728807,0.080639927
15,kerala,0,0.012026113,0.035638523,0.035741243,0.059552564
16,ladakh,0.019105102,0.027487133,0.045523973,0.103258192,0.118231827
17,lakshadweep,0,0,0,0.045048202,0.065685351
18,madhya pradesh,0.317259028,0.332467979,0.350819254,0.391177501,0.380312091
19,maharashtra,0.027925148,0.033904422,0.037444495,0.04364635,0.086745528
20,manipur,0.016688886,0.016292823,0.043930165,0.044703251,0.105817148
21,meghalaya,0.017726321,0.017688412,0.012329654,0.029780039,0.078565882
22,mizoram,0.003526286,0.002745563,0.001555645,0.012802343,0.107681737
23,nagaland,0.028781162,0.042635422,0.062551194,0.06284333,0.080288519
24,delhi,0.07604348,0.056335158,0.078166799,0.100640209,0.149202184
25,odisha,0.404440281,0.446242008,0.478778846,0.481746292,0.489946112
26,puducherry,0,0.024453197,0.023107401,0.088563042,0.098769079
27,punjab,0.120404874,0.282945481,0.24098205,0.30901683,0.358341113
28,rajasthan,0.270908078,0.274804893,0.275915005,0.297822314,0.331399862
29,sikkim,0,0.045778104,0,0,0
30,tamil nadu,0.235954015,0.311835927,0.341041834,0.313843661,0.370214145
31,telangana,0.051728445,0.042891538,0.032831692,0.024086079,0.039505178
32,tripura,0.216506927,0.271611676,0.309963779,0.397468443,0.207368513
33,uttar pradesh,0.174754151,0.206619738,0.210406889,0.247354625,0.278131429
34,uttarakhand,0.111385997,0.133215131,0.134269982,0.183285942,0.207553457
35,west bengal,0.004729621,0.005838491,0.009080966,0.010925214,0.041341594
